"","province_name","municipal_name","total_harvest","total_msy","total_bau_2050"
"1","AGUSAN DEL NORTE","BUENAVISTA",198,106,40
"2","AGUSAN DEL NORTE","CARMEN",774,418,158
"3","AGUSAN DEL NORTE","CITY OF CABADBARAN",258,139,52
"4","AGUSAN DEL NORTE","JABONGA",693,374,142
"5","AGUSAN DEL NORTE","MAGALLANES",110,59,22
"6","AGUSAN DEL NORTE","NASIPIT",357,193,73
"7","AGUSAN DEL NORTE","TUBAY",751,405,154
"8","AKLAN","ALTAVAS",7,3,1
"9","AKLAN","BATAN",231,103,61
"10","AKLAN","BURUANGA",880,391,233
"11","AKLAN","IBAJAY",549,244,145
"12","AKLAN","KALIBO (Capital)",661,293,175
"13","AKLAN","MAKATO",71,31,18
"14","AKLAN","MALAY",515,228,136
"15","AKLAN","NABAS",574,254,151
"16","AKLAN","NEW WASHINGTON",468,208,124
"17","AKLAN","NUMANCIA",44,19,11
"18","AKLAN","TANGALAN",484,215,128
"19","ALBAY",NA,0,0,0
"20","ANTIQUE","ANINI-Y",742,557,317
"21","ANTIQUE","BARBAZA",75,56,32
"22","ANTIQUE","BELISON",46,35,19
"23","ANTIQUE","CALUYA",1796,1347,767
"24","ANTIQUE","CULASI",860,645,367
"25","ANTIQUE","HAMTIC",77,58,33
"26","ANTIQUE","LAUA-AN",91,68,39
"27","ANTIQUE","LIBERTAD",202,151,86
"28","ANTIQUE","PANDAN",74,55,31
"29","ANTIQUE","PATNONGON",133,100,57
"30","ANTIQUE","SAN JOSE (Capital)",187,140,79
"31","ANTIQUE","SEBASTE",106,80,45
"32","ANTIQUE","TIBIAO",112,84,48
"33","ANTIQUE","TOBIAS FORNIER (DAO)",125,93,53
"34","AURORA","BALER (Capital)",115,65,30
"35","AURORA","CASIGURAN",378,215,100
"36","AURORA","DILASAG",71,40,18
"37","AURORA","DINALUNGAN",57,32,15
"38","AURORA","DINGALAN",130,74,34
"39","AURORA","DIPACULAO",150,85,39
"40","AURORA","SAN LUIS",123,70,32
"41","BASILAN","CITY OF LAMITAN",159,98,41
"42","BASILAN","LANTAWAN",2730,1686,708
"43","BASILAN","MALUSO",496,306,128
"44","BASILAN","SUMISIP",735,454,190
"45","BASILAN","TIPO-TIPO",480,297,124
"46","BASILAN","TUBURAN",1158,715,300
"47","BATAAN","ABUCAY",43,26,13
"48","BATAAN","BAGAC",375,230,113
"49","BATAAN","CITY OF BALANGA (Capital)",34,21,10
"50","BATAAN","LIMAY",316,194,95
"51","BATAAN","MARIVELES",739,454,224
"52","BATAAN","MORONG",625,384,189
"53","BATAAN","ORANI",21,12,6
"54","BATAAN","ORION",202,124,61
"55","BATAAN","PILAR",53,32,16
"56","BATAAN","SAMAL",32,20,9
"57","BATANES","BASCO (Capital)",85,30,8
"58","BATANES","ITBAYAT",343,120,34
"59","BATANES","IVANA",4,1,0
"60","BATANES","MAHATAO",10,3,1
"61","BATANES","SABTANG",122,42,12
"62","BATANES","UYUGAN",33,11,3
"63","BATANGAS","BALAYAN",50,42,20
"64","BATANGAS","BATANGAS CITY (Capital)",527,451,213
"65","BATANGAS","BAUAN",129,111,52
"66","BATANGAS","CALACA",110,94,44
"67","BATANGAS","CALATAGAN",1246,1067,505
"68","BATANGAS","LEMERY",54,46,21
"69","BATANGAS","LIAN",217,186,88
"70","BATANGAS","LOBO",496,425,201
"71","BATANGAS","MABINI",207,177,84
"72","BATANGAS","NASUGBU",1088,932,440
"73","BATANGAS","SAN JUAN",852,730,345
"74","BATANGAS","SAN LUIS",27,23,11
"75","BATANGAS","SAN PASCUAL",10,8,4
"76","BATANGAS","TAAL",13,11,5
"77","BATANGAS","TINGLOY",733,628,297
"78","BILIRAN","ALMERIA",115,61,27
"79","BILIRAN","BILIRAN",40,21,9
"80","BILIRAN","CABUCGAYAN",340,182,81
"81","BILIRAN","CAIBIRAN",281,150,67
"82","BILIRAN","CULABA",419,224,100
"83","BILIRAN","KAWAYAN",513,274,123
"84","BILIRAN","MARIPIPI",785,420,188
"85","BILIRAN","NAVAL (Capital)",74,39,17
"86","BOHOL","ALBURQUERQUE",22,21,12
"87","BOHOL","ANDA",317,306,173
"88","BOHOL","BACLAYON",376,362,205
